frame,time_ns,n_hydrogen_bonds
1147,45.88,202
1148,45.92,207
1149,45.96,205
1150,46.0,204
1151,46.04,214
1152,46.08,208
1153,46.12,197
1154,46.160000000000004,199
1155,46.2,203
1156,46.24,197
1157,46.28,198
1158,46.32,198
1159,46.36,208
1160,46.4,202
1161,46.44,209
1162,46.480000000000004,195
1163,46.52,210
1164,46.56,206
1165,46.6,197
1166,46.64,204
1167,46.68,200
1168,46.72,209
1169,46.76,204
1170,46.800000000000004,197
1171,46.84,199
1172,46.88,202
1173,46.92,197
1174,46.96,204
1175,47.0,200
1176,47.04,208
1177,47.08,199
1178,47.12,208
1179,47.160000000000004,184
1180,47.2,201
1181,47.24,203
1182,47.28,195
1183,47.32,193
1184,47.36,201
1185,47.4,200
1186,47.44,200
1187,47.480000000000004,202
1188,47.52,207
1189,47.56,191
1190,47.6,190
1191,47.64,201
1192,47.68,200
1193,47.72,192
1194,47.76,191
1195,47.800000000000004,206
1196,47.84,208
1197,47.88,207
1198,47.92,201
1199,47.96,206
1200,48.0,204
1201,48.04,212
1202,48.08,204
1203,48.120000000000005,195
1204,48.160000000000004,200
1205,48.2,202
1206,48.24,211
1207,48.28,217
1208,48.32,208
1209,48.36,198
1210,48.4,206
1211,48.44,214
1212,48.480000000000004,196
1213,48.52,201
1214,48.56,203
1215,48.6,197
1216,48.64,185
1217,48.68,193
1218,48.72,204
1219,48.76,206
1220,48.800000000000004,204
1221,48.84,206
1222,48.88,205
1223,48.92,190
1224,48.96,211
1225,49.0,198
1226,49.04,199
1227,49.08,198
1228,49.120000000000005,211
1229,49.160000000000004,210
1230,49.2,196
1231,49.24,199
1232,49.28,207
1233,49.32,193
1234,49.36,206
1235,49.4,207
1236,49.44,208
1237,49.480000000000004,202
1238,49.52,203
1239,49.56,205
1240,49.6,196
1241,49.64,208
1242,49.68,204
1243,49.72,193
1244,49.76,214
1245,49.800000000000004,204
1246,49.84,212
1247,49.88,208
1248,49.92,195
1249,49.96,202
1250,50.0,198
1251,50.04,207
1252,50.08,194
1253,50.120000000000005,192
1254,50.160000000000004,207
1255,50.2,202
1256,50.24,212
1257,50.28,204
1258,50.32,191
1259,50.36,204
